From Room ID,To Room ID,Distance (meters)
A-G-101,A-G-102,12
A-G-102,A-G-103,12
A-G-103,A-G-106,15
A-G-104,A-G-105,12
A-G-105,A-G-106,22
A-G-101,A-G-104,18
A-G-102,A-G-105,18
A-G-106,A-G-W1,8
A-G-W1,A-G-EXIT,10
A-G-106,A-G-EXIT,28
A-F-201,A-F-202,12
A-F-202,A-F-203,12
A-F-203,A-F-205,22
A-F-204,A-F-205,22
A-F-201,A-F-204,18
A-F-202,A-F-204,18
A-F-205,A-F-W1,20
A-F-W1,A-F-STAIR,8
A-G-EXIT,A-F-STAIR,10
A-F-STAIR,A-F-205,12
B-G-101,B-G-102,12
B-G-102,B-G-103,12
B-G-101,B-G-104,18
B-G-104,B-G-105,12
B-G-105,B-G-103,22
B-G-103,B-G-W1,10
B-G-W1,B-G-EXIT,18
B-G-105,B-G-EXIT,12
B-F-201,B-F-202,12
B-F-202,B-F-203,14
B-F-203,B-F-204,12
B-F-201,B-F-204,26
B-F-203,B-F-W1,8
B-F-W1,B-F-STAIR,20
B-F-204,B-F-STAIR,14
B-G-EXIT,B-F-STAIR,10
C-G-101,C-G-102,14
C-G-102,C-G-103,22
C-G-103,C-G-104,12
C-G-101,C-G-W1,12
C-G-W1,C-G-104,15
C-G-102,C-G-EXIT,12
C-G-101,C-G-EXIT,20
C-F-201,C-F-202,14
C-F-202,C-F-204,22
C-F-201,C-F-203,18
C-F-203,C-F-204,12
C-F-201,C-F-W1,12
C-F-W1,C-F-204,15
C-F-202,C-F-STAIR,12
C-F-201,C-F-STAIR,22
C-G-EXIT,C-F-STAIR,10
A-G-EXIT,B-G-104,25
B-G-EXIT,C-G-EXIT,30
A-F-STAIR,B-F-201,25
B-F-STAIR,C-F-201,30
